symbol,company,industry,market_cap
API,"Agora, Inc.",Software - Application,350.67M
APLD,Applied Digital Corporation,Information Technology Services,3.67B
APLE,"Apple Hospitality REIT, Inc.",REIT - Hotel & Motel,2.79B
APLM,"Apollomics, Inc.",Biotechnology,6.28M
APLS,"Apellis Pharmaceuticals, Inc.",Biotechnology,3.01B
APLT,"Applied Therapeutics, Inc.",Biotechnology,63.58M
APM,Aptorum Group Limited,Biotechnology,10.14M
APO,"Apollo Global Management, Inc.",Asset Management,81.30B
APO.PRA,"Apollo Global Management, Inc.",Other,81.30B
APOG,"Apogee Enterprises, Inc.",Building Products & Equipment,883.57M
APP,AppLovin Corporation,Advertising Agencies,157.48B
APPF,"AppFolio, Inc.",Software - Application,10.07B
APPN,Appian Corporation,Software - Infrastructure,2.06B
APPS,"Digital Turbine, Inc.",Software - Application,464.93M
APRE,"Aprea Therapeutics, Inc.",Biotechnology,9.35M
APT,"Alpha Pro Tech, Ltd.",Building Products & Equipment,48.59M
APTV,Aptiv PLC,Auto Parts,14.54B
APUS,"Apimeds Pharmaceuticals US, Inc.",Drug Manufacturers - Specialty & Generic,17.71M
APVO,Aptevo Therapeutics Inc.,Biotechnology,7.97M
APWC,Asia Pacific Wire & Cable Corporation Limited,Electrical Equipment & Parts,35.05M
APYX,Apyx Medical Corporation,Medical Devices,86.61M
AQB,"AquaBounty Technologies, Inc.",Farm Products,2.93M
AQMS,"Aqua Metals, Inc.",Waste Management,3.68M
AQN,Algonquin Power & Utilities Corp.,Utilities - Diversified,4.37B
AQST,"Aquestive Therapeutics, Inc.",Drug Manufacturers - Specialty & Generic,383.41M
AR,Antero Resources Corporation,Oil & Gas Exploration & Production,10.01B
ARAI,Arrive AI Inc.,Software - Infrastructure,223.67M
ARAY,Accuray Incorporated,Medical Devices,152.63M
ARBB,ARB IOT Group Limited,Information Technology Services,8.46M
ARBE,Arbe Robotics Ltd.,Software - Infrastructure,136.71M
ARBK,Argo Blockchain plc,Capital Markets,21.57M
ARCB,ArcBest Corporation,Trucking,1.56B
ARCC,Ares Capital Corporation,Asset Management,15.84B
ARCO,Arcos Dorados Holdings Inc.,Restaurants,1.42B
ARCT,Arcturus Therapeutics Holdings Inc.,Biotechnology,308.90M
ARDT,"Ardent Health, Inc.",Medical Care Facilities,1.72B
ARDX,"Ardelyx, Inc.",Biotechnology,1.30B
ARE,"Alexandria Real Estate Equities, Inc.",REIT - Office,12.43B
AREB,"American Rebel Holdings, Inc.",Footwear & Accessories,8.95M
AREC,American Resources Corporation,Coking Coal,134.11M
AREN,"The Arena Group Holdings, Inc.",Internet Content & Information,319.61M
ARES,Ares Management Corporation,Asset Management,60.95B
ARGX,argenx SE,Biotechnology,39.26B
ARHS,"Arhaus, Inc.",Specialty Retail,1.57B
ARI,"Apollo Commercial Real Estate Finance, Inc.",REIT - Mortgage,1.38B
ARIS,"Aris Water Solutions, Inc.",Utilities - Regulated Water,1.38B
ARKO,Arko Corp.,Specialty Retail,554.69M
ARKR,Ark Restaurants Corp.,Restaurants,25.66M
ARL,"American Realty Investors, Inc.",Real Estate Services,221.28M
ARLO,"Arlo Technologies, Inc.",Building Products & Equipment,1.80B
ARLP,"Alliance Resource Partners, L.P.",Thermal Coal,3.16B
ARM,Arm Holdings plc,Semiconductors,149.37B
ARMK,Aramark,Specialty Business Services,10.28B
ARMN,Aris Mining Corporation,Gold,1.45B
ARMP,"Armata Pharmaceuticals, Inc.",Biotechnology,85.42M
AROC,"Archrock, Inc.",Oil & Gas Equipment & Services,4.12B
AROW,Arrow Financial Corporation,Banks - Regional,452.07M
ARQ,"Arq, Inc.",Pollution & Treatment Controls,276.06M
ARQQ,Arqit Quantum Inc.,Software - Infrastructure,443.31M
ARQT,"Arcutis Biotherapeutics, Inc.",Biotechnology,1.70B
ARR,"ARMOUR Residential REIT, Inc.",REIT - Mortgage,1.67B
ARRY,"Array Technologies, Inc.",Solar,836.93M
ARTL,"Artelo Biosciences, Inc.",Biotechnology,6.86M
ARTNA,Artesian Resources Corporation,Utilities - Regulated Water,347.36M
ARTV,"Artiva Biotherapeutics, Inc.",Biotechnology,62.53M
ARTW,"Art's-Way Manufacturing Co., Inc.",Farm & Heavy Construction Machinery,21.66M
ARVN,"Arvinas, Inc.",Biotechnology,483.45M
ARW,"Arrow Electronics, Inc.",Electronics & Computer Distribution,6.18B
ARWR,"Arrowhead Pharmaceuticals, Inc.",Biotechnology,2.38B
ARX,Accelerant Holdings,Software - Application,6.05B
AS,"Amer Sports, Inc.",Leisure,20.34B
ASA,ASA Gold and Precious Metals Limited,Asset Management,664.68M
ASAN,"Asana, Inc.",Software - Application,3.01B
ASB,Associated Banc-Corp,Banks - Regional,3.91B
ASBP,"Aspire Biopharma Holdings, Inc.",Biotechnology,17.88M
ASC,Ardmore Shipping Corporation,Marine Shipping,416.80M
ASGN,ASGN Incorporated,Information Technology Services,2.14B
ASH,Ashland Inc.,Specialty Chemicals,2.36B
ASIC,Ategrity Specialty Insurance Company Holdings,Insurance - Property & Casualty,879.21M
ASIX,AdvanSix Inc.,Chemicals,490.98M
ASLE,AerSale Corporation,Airports & Air Services,402.46M
ASM,Avino Silver & Gold Mines Ltd.,Other Precious Metals & Mining,573.98M
ASMB,"Assembly Biosciences, Inc.",Biotechnology,181.07M
ASML,ASML Holding N.V.,Semiconductor Equipment & Materials,281.59B
ASND,Ascendis Pharma A/S,Biotechnology,11.87B
ASNS,"Actelis Networks, Inc.",Communication Equipment,6.42M
ASO,"Academy Sports and Outdoors, Inc.",Specialty Retail,3.32B
ASPC,A SPAC III Acquisition Corp.,Shell Companies,82.89M
ASPI,ASP Isotopes Inc.,Chemicals,908.65M
ASPN,"Aspen Aerogels, Inc.",Building Products & Equipment,572.41M
ASPS,Altisource Portfolio Solutions S.A.,Real Estate Services,117.88M
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,9.40B
ASRT,"Assertio Holdings, Inc.",Drug Manufacturers - Specialty & Generic,69.44M
ASRV,"AmeriServ Financial, Inc.",Banks - Regional,48.40M
ASST,Asset Entities Inc.,Internet Content & Information,70.88M
ASTC,Astrotech Corporation,Scientific & Technical Instruments,9.27M
ASTE,"Astec Industries, Inc.",Farm & Heavy Construction Machinery,968.97M
ASTH,"Astrana Health, Inc.",Medical Care Facilities,1.43B
ASTI,"Ascent Solar Technologies, Inc.",Solar,5.64M
ASTL,Algoma Steel Group Inc.,Steel,458.56M
ASTS,"AST SpaceMobile, Inc.",Communication Equipment,15.77B
ASUR,"Asure Software, Inc.",Software - Application,225.16M
ASX,"ASE Technology Holding Co., Ltd.",Semiconductors,21.89B
ASYS,"Amtech Systems, Inc.",Semiconductor Equipment & Materials,68.56M
