symbol,company,industry,market_cap
ATAI,Atai Life Sciences N.V.,Biotechnology,840.09M
ATAT,Atour Lifestyle Holdings Limited,Lodging,4.81B
ATCH,"AtlasClear Holdings, Inc.",Software - Infrastructure,2.72M
ATEC,"Alphatec Holdings, Inc.",Medical Devices,2.27B
ATEN,"A10 Networks, Inc.",Software - Infrastructure,1.24B
ATER,"Aterian, Inc.","Furnishings, Fixtures & Appliances",10.93M
ATEX,Anterix Inc.,Telecom Services,389.44M
ATGE,Adtalem Global Education Inc.,Education & Training Services,4.32B
ATGL,Alpha Technology Group Limited,Software - Infrastructure,309.50M
ATHA,"Athira Pharma, Inc.",Biotechnology,14.99M
ATHE,Alterity Therapeutics Limited,Biotechnology,83.91M
ATHM,Autohome Inc.,Internet Content & Information,3.42B
ATHR,"Aether Holdings, Inc.",Software - Application,102.01M
ATI,ATI Inc.,Metal Fabrication,10.05B
ATII,Archimedes Tech SPAC Partners II Co.,Shell Companies,302.41M
ATKR,Atkore Inc.,Electrical Equipment & Parts,1.81B
ATLC,Atlanticus Holdings Corporation,Credit Services,900.27M
ATLN,Atlantic International Corp.,Staffing & Employment Services,130.70M
ATLO,Ames National Corporation,Banks - Regional,167.21M
ATLX,Atlas Lithium Corporation,Other Industrial Metals & Mining,117.30M
ATMC,AlphaTime Acquisition Corp,Shell Companies,41.49M
ATMU,Atmus Filtration Technologies Inc.,Auto Parts,3.47B
ATMV,AlphaVest Acquisition Corp,Shell Companies,46.07M
ATNF,180 Life Sciences Corp.,Biotechnology,514.47M
ATNI,"ATN International, Inc.",Telecom Services,223.35M
ATNM,"Actinium Pharmaceuticals, Inc.",Biotechnology,45.86M
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,26.49B
ATOM,Atomera Incorporated,Semiconductor Equipment & Materials,113.34M
ATOS,"Atossa Therapeutics, Inc.",Biotechnology,98.60M
ATPC,Agape ATP Corporation,Packaged Foods,68.01M
ATR,"AptarGroup, Inc.",Medical Instruments & Supplies,9.21B
ATRA,"Atara Biotherapeutics, Inc.",Biotechnology,70.13M
ATRC,"AtriCure, Inc.",Medical Instruments & Supplies,1.76B
ATRO,Astronics Corporation,Aerospace & Defense,1.12B
ATS,ATS Corporation,Specialty Industrial Machinery,2.80B
ATUS,"Altice USA, Inc.",Telecom Services,960.73M
ATXG,Addentax Group Corp.,Integrated Freight & Logistics,4.36M
ATXS,"Astria Therapeutics, Inc.",Biotechnology,376.98M
ATYR,"aTyr Pharma, Inc.",Biotechnology,549.71M
AU,AngloGold Ashanti plc,Gold,28.67B
AUB,Atlantic Union Bankshares Corporation,Banks - Regional,4.55B
AUBN,"Auburn National Bancorporation, Inc.",Banks - Regional,92.58M
AUDC,AudioCodes Ltd.,Communication Equipment,293.85M
AUGO,Aura Minerals Inc.,Gold,2.21B
AUID,authID Inc.,Software - Infrastructure,51.09M
AUNA,Auna S.A.,Medical Care Facilities,462.31M
AUPH,Aurinia Pharmaceuticals Inc.,Biotechnology,1.50B
AUR,"Aurora Innovation, Inc.",Information Technology Services,11.51B
AURA,"Aura Biosciences, Inc.",Biotechnology,424.11M
AUST,Austin Gold Corp.,Gold,16.86M
AUTL,Autolus Therapeutics plc,Biotechnology,657.37M
AUUD,Auddia Inc.,Software - Application,2.02M
AVA,Avista Corporation,Utilities - Diversified,3.03B
AVAH,Aveanna Healthcare Holdings Inc.,Medical Care Facilities,1.43B
AVAL,Grupo Aval Acciones y Valores S.A.,Banks - Regional,3.48B
AVAV,"AeroVironment, Inc.",Aerospace & Defense,12.15B
AVB,"AvalonBay Communities, Inc.",REIT - Residential,26.32B
AVBC,"Avidia Bancorp, Inc.",Banks - Regional,290.70M
AVBH,"Avidbank Holdings, Inc.",Banks - Regional,247.17M
AVBP,"ArriVent BioPharma, Inc.",Biotechnology,635.15M
AVD,American Vanguard Corporation,Agricultural Inputs,133.63M
AVDL,Avadel Pharmaceuticals plc,Drug Manufacturers - Specialty & Generic,1.24B
AVDX,"AvidXchange Holdings, Inc.",Software - Infrastructure,2.05B
AVGO,Broadcom Inc.,Semiconductors,"1,429.38B"
AVIR,"Atea Pharmaceuticals, Inc.",Biotechnology,278.55M
AVNS,"Avanos Medical, Inc.",Medical Devices,488.15M
AVNT,Avient Corporation,Specialty Chemicals,3.00B
AVNW,"Aviat Networks, Inc.",Communication Equipment,273.90M
AVO,"Mission Produce, Inc.",Food Distribution,876.02M
AVPT,"AvePoint, Inc.",Software - Infrastructure,3.12B
AVR,Anteris Technologies Global Corp.,Medical Instruments & Supplies,127.94M
AVT,"Avnet, Inc.",Electronics & Computer Distribution,4.34B
AVTR,"Avantor, Inc.",Medical Instruments & Supplies,8.25B
AVTX,"Avalo Therapeutics, Inc.",Biotechnology,118.44M
AVXL,Anavex Life Sciences Corp.,Biotechnology,969.48M
AVY,Avery Dennison Corporation,Packaging & Containers,13.40B
AWI,"Armstrong World Industries, Inc.",Building Products & Equipment,8.20B
AWK,"American Water Works Company, Inc.",Utilities - Regulated Water,29.42B
AWR,American States Water Company,Utilities - Regulated Water,2.93B
AWRE,"Aware, Inc.",Software - Application,48.51M
AWX,Avalon Holdings Corporation,Waste Management,9.79M
AX,"Axos Financial, Inc.",Banks - Regional,4.76B
AXGN,"Axogen, Inc.",Medical Devices,644.64M
AXIL,"AXIL Brands, Inc.",Consumer Electronics,56.52M
AXIN,Axiom Intelligence Acquisition Corp 1,Shell Companies,271.62M
AXL,"American Axle & Manufacturing Holdings, Inc.",Auto Parts,657.40M
AXON,"Axon Enterprise, Inc.",Aerospace & Defense,64.27B
AXP,American Express Company,Credit Services,206.14B
AXR,AMREP Corporation,Real Estate - Development,116.03M
AXS,AXIS Capital Holdings Limited,Insurance - Specialty,7.51B
AXSM,"Axsome Therapeutics, Inc.",Biotechnology,5.19B
AXTA,Axalta Coating Systems Ltd.,Specialty Chemicals,6.14B
AXTI,"AXT, Inc.",Semiconductor Equipment & Materials,96.30M
AYI,Acuity Inc.,Electrical Equipment & Parts,9.50B
AYRO,"Ayro, Inc.",Auto Manufacturers,3.88M
AYTU,"Aytu BioPharma, Inc.",Drug Manufacturers - Specialty & Generic,20.11M
AZ,A2Z Cust2Mate Solutions Corp.,Software - Application,346.19M
AZI,Autozi Internet Technology (Global) Ltd.,Auto & Truck Dealerships,24.14M
AZN,AstraZeneca PLC,Drug Manufacturers - General,229.47B
AZO,"AutoZone, Inc.",Auto Parts,67.53B
AZTA,"Azenta, Inc.",Medical Instruments & Supplies,1.28B
AZTR,"Azitra, Inc.",Biotechnology,2.74M
AZZ,AZZ Inc.,Specialty Business Services,3.35B
B,Barrick Mining Corporation,Gold,39.23B
BA,The Boeing Company,Aerospace & Defense,170.86B
BABA,Alibaba Group Holding Limited,Internet Retail,264.90B
BAC,Bank of America Corporation,Banks - Diversified,341.90B
BACC,Blue Acquisition Corp.,Shell Companies,269.72M
BACQ,Bleichroeder Acquisition Corp. I,Shell Companies,348.39M
BAER,"Bridger Aerospace Group Holdings, Inc.",Security & Protection Services,99.95M
BAFN,BayFirst Financial Corp.,Banks - Regional,42.44M
BAH,Booz Allen Hamilton Holding Corporation,Consulting Services,13.46B
BAK,Braskem S.A.,Chemicals,1.24B
BALL,Ball Corporation,Packaging & Containers,14.60B
BAM,Brookfield Asset Management Ltd.,Asset Management,99.04B
BANC,"Banc of California, Inc.",Banks - Regional,2.28B
BAND,Bandwidth Inc.,Software - Infrastructure,394.85M
BANF,BancFirst Corporation,Banks - Regional,4.02B
BANL,CBL International Limited,Oil & Gas Midstream,18.98M
BANR,Banner Corporation,Banks - Regional,2.15B
BAOS,Baosheng Media Group Holdings Limited,Advertising Agencies,4.20M
BAP,Credicorp Ltd.,Banks - Regional,19.80B
BARK,"BARK, Inc.",Specialty Retail,136.59M
BASE,"Couchbase, Inc.",Software - Infrastructure,1.34B
BATL,Battalion Oil Corporation,Oil & Gas Exploration & Production,20.90M
BATRA,"Atlanta Braves Holdings, Inc.",Entertainment,2.82B
BATRK,"Atlanta Braves Holdings, Inc.",Entertainment,2.77B
BAX,Baxter International Inc.,Medical Instruments & Supplies,12.05B
BAYA,Bayview Acquisition Corp,Shell Companies,60.51M
BB,BlackBerry Limited,Software - Infrastructure,2.13B
BBAI,"BigBear.ai Holdings, Inc.",Information Technology Services,2.06B
BBAR,Banco BBVA Argentina S.A.,Banks - Regional,3.38B
BBCP,"Concrete Pumping Holdings, Inc.",Engineering & Construction,367.32M
BBD,Banco Bradesco S.A.,Banks - Regional,28.69B
BBDC,"Barings BDC, Inc.",Asset Management,1.01B
BBDO,Banco Bradesco S.A.,Banks - Regional,28.69B
BBGI,"Beasley Broadcast Group, Inc.",Broadcasting,7.69M
BBIO,"BridgeBio Pharma, Inc.",Biotechnology,9.22B
BBLG,Bone Biologics Corporation,Medical Devices,3.79M
BBNX,"Beta Bionics, Inc.",Medical Devices,621.41M
BBSI,"Barrett Business Services, Inc.",Staffing & Employment Services,1.19B
BBU,Brookfield Business Partners L.P.,Conglomerates,5.19B
BBUC,Brookfield Business Corporation,Asset Management,2.02B
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",Banks - Diversified,107.20B
BBW,"Build-A-Bear Workshop, Inc.",Specialty Retail,669.17M
BBWI,"Bath & Body Works, Inc.",Specialty Retail,5.92B
BBY,"Best Buy Co., Inc.",Specialty Retail,14.50B
BC,Brunswick Corporation,Recreational Vehicles,3.70B
BCAB,"BioAtla, Inc.",Biotechnology,21.29M
BCAL,California BanCorp.,Banks - Regional,496.22M
BCAR,D. Boral ARC Acquisition I Corp.,Shell Companies,248.75M
BCAX,Bicara Therapeutics Inc.,Biotechnology,544.82M
BCBP,"BCB Bancorp, Inc.",Banks - Regional,143.66M
BCC,Boise Cascade Company,Lumber & Wood Production,3.01B
BCDA,"BioCardia, Inc.",Biotechnology,9.16M
BCE,BCE Inc.,Telecom Services,22.71B
BCG,"Binah Capital Group, Inc.",Asset Management,34.37M
BCH,Banco de Chile,Banks - Regional,14.50B
BCML,BayCom Corp,Banks - Regional,299.97M
BCO,The Brink's Company,Security & Protection Services,4.44B
BCPC,Balchem Corporation,Specialty Chemicals,5.16B
BCRX,"BioCryst Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1.72B
BCS,Barclays PLC,Banks - Diversified,69.88B
BCSF,"Bain Capital Specialty Finance, Inc.",Asset Management,979.51M
BCTX,BriaCell Therapeutics Corp.,Biotechnology,12.35M
BCYC,Bicycle Therapeutics plc,Biotechnology,517.37M
BDC,Belden Inc.,Communication Equipment,4.68B
BDL,"Flanigan's Enterprises, Inc.",Restaurants,57.25M
BDMD,Baird Medical Investment Holdings Limited,Medical Devices,60.40M
BDN,Brandywine Realty Trust,REIT - Office,667.24M
BDRX,Biodexa Pharmaceuticals Plc,Biotechnology,4.27M
BDSX,"Biodesix, Inc.",Diagnostics & Research,57.23M
BDTX,"Black Diamond Therapeutics, Inc.",Biotechnology,131.52M
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,55.18B
BE,Bloom Energy Corporation,Electrical Equipment & Parts,8.81B
BEAG,Bold Eagle Acquisition Corp.,Shell Companies,326.33M
BEAM,Beam Therapeutics Inc.,Biotechnology,1.69B
BEAT,"HeartBeam, Inc.",Health Information Services,31.85M
BEDU,Bright Scholar Education Holdings Limited,Education & Training Services,51.12M
BEEM,Beam Global,Solar,34.55M
BEEP,Mobile Infrastructure Corporation,Infrastructure Operations,153.36M
BEKE,KE Holdings Inc.,Real Estate Services,20.99B
BELFA,Bel Fuse Inc.,Electronic Components,1.41B
BELFB,Bel Fuse Inc.,Electronic Components,1.59B
BEN,"Franklin Resources, Inc.",Asset Management,13.13B
BENF,Beneficient,Asset Management,2.46M
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,16.33B
BEPC,Brookfield Renewable Corporation,Utilities - Renewable,11.26B
BETR,Better Home & Finance Holding Company,Mortgage Finance,212.56M
BF.A,Brown-Forman Corporation,Beverages - Wineries & Distilleries,14.51B
BF.B,Brown-Forman Corporation,Beverages - Wineries & Distilleries,14.54B
BFAM,Bright Horizons Family Solutions Inc.,Personal Services,6.68B
BFC,Bank First Corporation,Banks - Regional,1.15B
BFH,"Bread Financial Holdings, Inc.",Credit Services,2.72B
BFIN,BankFinancial Corporation,Banks - Regional,135.57M
BFLY,"Butterfly Network, Inc.",Medical Devices,342.37M
BFRG,"Bullfrog AI Holdings, Inc.",Health Information Services,12.80M
BFRI,Biofrontera Inc.,Drug Manufacturers - Specialty & Generic,9.43M
BFS,"Saul Centers, Inc.",REIT - Retail,1.13B
BFST,"Business First Bancshares, Inc.",Banks - Regional,689.16M
BG,Bunge Global SA,Farm Products,16.45B
BGC,"BGC Group, Inc.",Capital Markets,4.88B
BGFV,Big 5 Sporting Goods Corporation,Specialty Retail,31.56M
BGI,Birks Group Inc.,Luxury Goods,12.01M
BGL,Blue Gold Limited,Gold,395.88M
BGLC,BioNexus Gene Lab Corp.,Specialty Chemicals,9.77M
BGM,BGM Group Ltd.,Drug Manufacturers - Specialty & Generic,1.40B
BGS,"B&G Foods, Inc.",Packaged Foods,325.62M
BGSF,"BGSF, Inc.",Staffing & Employment Services,64.16M
BH,Biglari Holdings Inc.,Restaurants,879.29M
BH.A,Biglari Holdings Inc.,Restaurants,873.17M
BHAT,Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,12.10M
BHB,Bar Harbor Bankshares,Banks - Regional,518.00M
BHC,Bausch Health Companies Inc.,Drug Manufacturers - Specialty & Generic,2.46B
BHE,"Benchmark Electronics, Inc.",Electronic Components,1.36B
BHF,"Brighthouse Financial, Inc.",Insurance - Life,2.58B
BHLB,"Berkshire Hills Bancorp, Inc.",Banks - Regional,1.11B
BHM,"Bluerock Homes Trust, Inc.",REIT - Residential,178.73M
BHP,BHP Group Limited,Other Industrial Metals & Mining,136.33B
BHR,Braemar Hotels & Resorts Inc.,REIT - Hotel & Motel,152.43M
BHRB,Burke & Herbert Financial Services Corp.,Banks - Regional,865.89M
BHST,BioHarvest Sciences Inc.,Packaged Foods,152.89M
BHVN,Biohaven Ltd.,Biotechnology,1.37B
BIAF,"bioAffinity Technologies, Inc.",Diagnostics & Research,7.82M
BIDU,"Baidu, Inc.",Internet Content & Information,29.56B
BIIB,Biogen Inc.,Drug Manufacturers - General,18.77B
BILI,Bilibili Inc.,Internet Content & Information,9.46B
BILL,"BILL Holdings, Inc.",Software - Application,4.03B
BINI,"Bollinger Innovations, Inc.",Auto Manufacturers,2.60M
BIO,"Bio-Rad Laboratories, Inc.",Medical Devices,7.16B
BIO.B,"Bio-Rad Laboratories, Inc.",Medical Devices,7.07B
BIOA,"BioAge Labs, Inc.",Drug Manufacturers - Specialty & Generic,155.23M
BIOX,Bioceres Crop Solutions Corp.,Agricultural Inputs,194.10M
BIP,Brookfield Infrastructure Partners L.P.,Utilities - Diversified,14.08B
BIPC,Brookfield Infrastructure Corporation,Utilities - Regulated Gas,4.79B
BIRD,"Allbirds, Inc.",Apparel Retail,52.22M
BIRK,Birkenstock Holding plc,Footwear & Accessories,8.74B
BITF,Bitfarms Ltd.,Capital Markets,695.55M
BIVI,BioVie Inc.,Biotechnology,3.32M
BIYA,Baiya International Group Inc.,Software - Application,7.45M
BJ,"BJ's Wholesale Club Holdings, Inc.",Discount Stores,14.19B
BJDX,"Bluejay Diagnostics, Inc.",Medical Devices,2.81M
BJRI,"BJ's Restaurants, Inc.",Restaurants,745.14M
BK,The Bank of New York Mellon Corporation,Banks - Diversified,72.83B
BKD,Brookdale Senior Living Inc.,Medical Care Facilities,1.71B
BKE,"The Buckle, Inc.",Apparel Retail,2.73B
BKH,Black Hills Corporation,Utilities - Regulated Gas,4.40B
BKHA,Black Hawk Acquisition Corporation,Shell Companies,97.78M
BKKT,"Bakkt Holdings, Inc.",Software - Infrastructure,146.79M
BKNG,Booking Holdings Inc.,Travel Services,173.85B
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,42.10B
BKSY,BlackSky Technology Inc.,Specialty Business Services,606.72M
BKTI,BK Technologies Corporation,Communication Equipment,147.20M
BKU,"BankUnited, Inc.",Banks - Regional,2.68B
BKV,BKV Corporation,Oil & Gas Exploration & Production,1.69B
BKYI,"BIO-key International, Inc.",Security & Protection Services,5.32M
BL,"BlackLine, Inc.",Software - Application,2.97B
BLBD,Blue Bird Corporation,Farm & Heavy Construction Machinery,1.73B
BLBX,Blackboxstocks Inc.,Software - Application,26.46M
BLCO,Bausch + Lomb Corporation,Medical Instruments & Supplies,4.82B
BLD,TopBuild Corp.,Engineering & Construction,11.61B
BLDE,"Blade Air Mobility, Inc.",Airports & Air Services,345.57M
BLDP,Ballard Power Systems Inc.,Specialty Industrial Machinery,539.32M
BLDR,"Builders FirstSource, Inc.",Building Products & Equipment,14.23B
BLFS,"BioLife Solutions, Inc.",Medical Instruments & Supplies,1.07B
BLFY,Blue Foundry Bancorp,Banks - Regional,170.19M
BLIN,"Bridgeline Digital, Inc.",Software - Infrastructure,17.20M
BLIV,BeLive Holdings,Software - Application,29.44M
BLK,"BlackRock, Inc.",Asset Management,174.66B
BLKB,"Blackbaud, Inc.",Software - Application,2.92B
BLMN,"Bloomin' Brands, Inc.",Restaurants,550.39M
BLMZ,BloomZ Inc.,Entertainment,2.81M
BLND,"Blend Labs, Inc.",Software - Application,731.29M
BLNE,"Beeline Holdings, Inc.",Beverages - Wineries & Distilleries,26.33M
BLNK,Blink Charging Co.,Engineering & Construction,91.48M
BLRX,BioLineRx Ltd.,Biotechnology,15.72M
BLTE,"Belite Bio, Inc",Biotechnology,2.28B
BLUW,Blue Water Acquisition Corp. III,Shell Companies,280.50M
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,1.67B
BLZE,"Backblaze, Inc.",Software - Infrastructure,416.41M
BMA,Banco Macro S.A.,Banks - Regional,4.54B
BMBL,Bumble Inc.,Internet Content & Information,944.85M
BMEA,"Biomea Fusion, Inc.",Biotechnology,91.05M
BMGL,Basel Medical Group Ltd,Medical Care Facilities,38.89M
BMHL,Bluemount Holdings Limited,Consulting Services,101.65M
BMI,"Badger Meter, Inc.",Scientific & Technical Instruments,5.57B
BMNR,"Bitmine Immersion Technologies, Inc.",Capital Markets,6.46B
BMO,Bank of Montreal,Banks - Diversified,81.40B
BMR,Beamr Imaging Ltd.,Software - Application,43.45M
BMRA,"Biomerica, Inc.",Medical Devices,7.64M
BMRC,Bank of Marin Bancorp,Banks - Regional,357.98M
BMRN,BioMarin Pharmaceutical Inc.,Biotechnology,10.91B
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,93.49B
BN,Brookfield Corporation,Asset Management,98.34B
BNAI,"Brand Engagement Network, Inc.",Software - Infrastructure,13.63M
BNC,CEA Industries Inc.,Other,23.00M
BNED,"Barnes & Noble Education, Inc.",Specialty Retail,277.54M
BNGO,"Bionano Genomics, Inc.",Medical Instruments & Supplies,9.86M
BNL,"Broadstone Net Lease, Inc.",REIT - Diversified,3.29B
BNR,Burning Rock Biotech Limited,Diagnostics & Research,74.29M
BNRG,Brenmiller Energy Ltd,Utilities - Renewable,3.98M
BNS,The Bank of Nova Scotia,Banks - Diversified,69.83B
BNT,Brookfield Wealth Solutions Ltd.,Insurance - Diversified,18.32B
BNTC,Benitec Biopharma Inc.,Biotechnology,312.38M
BNTX,BioNTech SE,Biotechnology,26.27B
BNZI,"Banzai International, Inc.",Software - Application,9.11M
BOC,Boston Omaha Corporation,Conglomerates,419.59M
BODI,"The Beachbody Company, Inc.",Internet Content & Information,32.15M
BOF,BranchOut Food Inc.,Packaged Foods,21.47M
BOH,Bank of Hawaii Corporation,Banks - Regional,2.51B
BOKF,BOK Financial Corporation,Banks - Regional,6.39B
BOLD,"Boundless Bio, Inc.",Biotechnology,24.85M
BOLT,"Bolt Biotherapeutics, Inc.",Biotechnology,10.80M
BON,Bon Natural Life Limited,Specialty Chemicals,4.88M
BOOM,DMC Global Inc.,Conglomerates,125.55M
BOOT,"Boot Barn Holdings, Inc.",Apparel Retail,5.05B
BORR,Borr Drilling Limited,Oil & Gas Drilling,632.56M
BOSC,B.O.S. Better Online Solutions Ltd.,Communication Equipment,27.84M
BOTJ,"Bank of the James Financial Group, Inc.",Banks - Regional,63.03M
BOW,Bowhead Specialty Holdings Inc.,Insurance - Property & Casualty,1.04B
BOWN,Bowen Acquisition Corp,Shell Companies,27.67M
BOX,"Box, Inc.",Software - Infrastructure,4.49B
BOXL,Boxlight Corporation,Consumer Electronics,6.19M
BP,BP p.l.c.,Oil & Gas Integrated,87.89B
BPOP,"Popular, Inc.",Banks - Regional,7.79B
BPRN,"Princeton Bancorp, Inc.",Banks - Regional,214.48M
BQ,Boqii Holding Limited,Specialty Retail,7.26M
BR,"Broadridge Financial Solutions, Inc.",Information Technology Services,30.86B
BRAG,Bragg Gaming Group Inc.,Gambling,102.00M
BRBR,"BellRing Brands, Inc.",Packaged Foods,4.89B
BRBS,"Blue Ridge Bankshares, Inc.",Banks - Regional,324.39M
BRC,Brady Corporation,Security & Protection Services,3.30B
BRCC,BRC Inc.,Packaged Foods,354.96M
BRDG,Bridge Investment Group Holdings Inc.,Asset Management,1.33B
BREA,Brera Holdings PLC,Entertainment,15.76M
BRFH,"Barfresh Food Group, Inc.",Beverages - Non-Alcoholic,45.43M
BRFS,BRF S.A.,Packaged Foods,5.63B
BRIA,BrilliA Inc,Apparel Retail,73.50M
BRID,Bridgford Foods Corporation,Packaged Foods,69.44M
BRK.A,Berkshire Hathaway Inc.,Insurance - Diversified,"1,004.83B"
BRK.B,Berkshire Hathaway Inc.,Insurance - Diversified,"1,003.28B"
